Workbench/update/row,768.75 µs,323.76 µs,-58.592,-59.493,-57.754
Workbench/update/editor,1.5438 ms,1.1120 ms,-29.289,-30.211,-28.384
Workbench/update/mixed,1.2042 ms,796.31 µs,-34.069,-34.884,-33.245
Workbench/update/full,1.6014 ms,1.4807 ms,-8.3069,-9.7316,-6.5300
^editor_render$,693.58 µs,697.08 µs,+0.4081,-0.6655,+1.5297
^editor_render_with_editorconfig$,1.5649 ms,1.5905 ms,+1.6487,-0.0418,+3.4827
^open_editor_with_one_long_line$,832.31 µs,812.67 µs,-0.9919,-2.9630,+1.1266
Multi-cursor input/cursors/1000,71.074 ms
659.46 ms,71.119 ms
665.25 ms,+0.1000,-5.5032,+6.5623
+0.8769,+0.5687,+1.2048
Siblings/all dirty/64,220.23 µs,254.80 µs,+15.385,+14.838,+15.903
Siblings/all dirty/256,760.36 µs,889.40 µs,+17.517,+16.899,+18.333
Siblings/all dirty/1024,3.1967 ms,3.8908 ms,+24.280,+21.877,+26.616
Elements/all dirty/256,743.45 µs,770.35 µs,+3.8239,+3.3823,+4.3173
Elements/all dirty/2048,6.7126 ms,6.9697 ms,+4.1404,+3.3004,+4.9873
Elements/all dirty/8192,23.658 ms,24.752 ms,+4.5323,+3.3709,+5.6856
Elements/incremental/256,761.65 µs,782.53 µs,+1.6044,+0.7177,+2.4442
Elements/incremental/2048,6.8147 ms,7.2602 ms,+7.5916,+6.4476,+9.3639
Elements/incremental/8192,24.079 ms,24.852 ms,+2.5513,+1.3096,+3.8859
Markdown render/min_bytes/5000,1.1528 ms
6.6615 ms,1.1784 ms
6.8515 ms,+1.9063,+1.2061,+2.5469
+2.3126,-2.8319,+7.6892
Markdown render/min_bytes/10000,1.6055 ms,1.6572 ms,+3.1171,+1.8728,+4.4250
Markdown render/min_bytes/50000,6.4611 ms,6.6981 ms,+2.9803,-1.9343,+8.3914
