Workbench/update/row,765.01 µs,285.32 µs,-63.800,-64.691,-62.600,49.2,49.0,166.5,235.1
Workbench/update/editor,1.5589 ms,899.02 µs,-42.194,-42.399,-41.991,52.4,50.2,143.0,142.5
Workbench/update/mixed,1.1903 ms,685.10 µs,-42.565,-42.888,-42.149,54.2,50.0,150.1,150.3
Workbench/update/full,1.6224 ms,1.2431 ms,-23.057,-23.533,-22.554,53.1,51.0,139.6,129.5
^editor_render$,692.08 µs,676.13 µs,-2.2042,-3.0833,-1.3846,48.4,49.0,154.9,150.3
^editor_render_with_editorconfig$,1.5248 ms,1.4478 ms,-5.5176,-6.6030,-4.5509,47.3,47.3,155.1,150.2
^open_editor_with_one_long_line$,816.36 µs,818.64 µs,+1.0474,-1.0502,+3.3777,36.1,35.5,979.1,999.7
Multi-cursor input/cursors/1000$,72.659 ms,72.396 ms,-0.3360,-6.5028,+6.1687,48.1,49.2,1408.0,1399.5
Multi-cursor input/cursors/10000,678.45 ms,681.69 ms,+0.4778,+0.3031,+0.6530,169.7,164.6,464.4,476.5
Siblings/all dirty/64,213.42 µs,248.47 µs,+16.708,+15.865,+17.576,37.5,38.1,207.3,175.5
Siblings/all dirty/256,757.64 µs,897.85 µs,+18.601,+18.245,+19.000,40.9,41.3,142.9,144.1
Siblings/all dirty/1024,3.2050 ms,3.8117 ms,+18.891,+18.506,+19.278,53.4,64.0,258.0,268.8
Elements/all dirty/256,753.89 µs,768.88 µs,+1.9828,+1.6505,+2.3390,40.7,40.2,139.3,133.9
Elements/all dirty/2048,6.8418 ms,7.0041 ms,+3.0691,+2.5394,+3.6616,66.3,71.3,390.5,350.4
Elements/all dirty/8192,25.073 ms,25.946 ms,+4.6076,+3.7859,+5.4065,147.9,150.3,584.2,538.2
Elements/incremental/256,757.60 µs,778.15 µs,+2.5871,+2.0413,+3.1387,42.3,40.8,146.5,147.0
Elements/incremental/2048,6.9303 ms,7.1072 ms,+3.0963,+2.3606,+4.0363,74.7,70.3,381.3,349.5
Elements/incremental/8192,25.488 ms,26.129 ms,+3.0204,+2.0363,+3.9986,219.0,185.1,702.0,717.0
Markdown render/min_bytes/5000$,1.1733 ms,1.0939 ms,-7.2932,-8.3967,-6.3404,58.2,59.6,161.3,155.8
Markdown render/min_bytes/10000,1.6310 ms,1.5604 ms,-4.4157,-5.9939,-2.9410,38.0,36.8,165.8,169.0
Markdown render/min_bytes/50000,6.6414 ms,6.7076 ms,+1.4649,-3.4586,+6.7304,40.2,35.8,247.2,269.8
